AdjustedWkt,Description
POINT (80.730955555555553 72.94509722222223),"COASTAL WARNING WEST 55/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 13347, 13348, 15379, 15380, 15381, 18381. 1. CANCELLED RECOMMENDED ROUTE 135.0-315.0 DEGREES BETWEEN 73-10-03.0N 079-57-56.4E AND 72-56-39.0N 080-43-46.7E. 2. CANCELLED RECOMMENDED ROUTE 196.0-16.0 DEGREES BETWEEN 72-56-39.0N 080-43-46.7E AND 72-46-26.9N 080-33-54.7E. 3. CANCELLED RECOMMENDED ROUTE 180.0-0.0 DEGREES BETWEEN 72-46-26.9N 080-33-54.7E AND 72-38-38.9N 080-33-54.7E. 4. CANCELLED RECOMMENDED ROUTE 161.0-341.0 DEGREES BETWEEN 72-38-38.9N 080-33-54.7E AND 72-28-02.9N 080-46-12.8E. 5. CANCELLED RECOMMENDED ROUTE 149.0-329.0 DEGREES BETWEEN 72-28-02.9N 080-46-12.8E AND 72-23-07.4N 080-56-12.9E. 6. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 134.8-314.8 DEGREES BETWEEN 73-10-01.52С 079-57-53.36В AND 72-56-42.35N 080-43-51.44E MINIMUM DEPTH 15.0 METRES. 7. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 196.0-16.0 DEGREES BETWEEN 72-56-42.35N 080-43-51.44E AND 72-46-27.16N 080-33-54.00E MINIMUM DEPTH 13.9 METRES. 8. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 180.0-0.0 DEGREES BETWEEN 72-46-27.16N 080-33-54.00E AND 72-38-38.51N 080-33-54.00E MINIMUM DEPTH 14.7 METRES. 9. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 160.8-340.8 DEGREES BETWEEN 72-38-38.51N 080-33-54.00E AND 72-28-03.03N 080-46-11.05E MINIMUM DEPTH 13.2 METRES. 10. ESTABLISHED DEEPWATER ROUTE WIDTH 600 METRES 300 METRES EACH SIDE CENTRE LINE 148.4-328.4 DEGREES BETWEEN 72-28-03.03N 080-46-11.05E И 72-23-07.43N 080-56-12.87E MINIMUM DEPTH 16.1 METRES. WGS84 DATUM.= NNNN"
POINT (80.565 72.774211111111114),"COASTAL WARNING WEST 55/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 13347, 13348, 15379, 15380, 15381, 18381. 1. CANCELLED RECOMMENDED ROUTE 135.0-315.0 DEGREES BETWEEN 73-10-03.0N 079-57-56.4E AND 72-56-39.0N 080-43-46.7E. 2. CANCELLED RECOMMENDED ROUTE 196.0-16.0 DEGREES BETWEEN 72-56-39.0N 080-43-46.7E AND 72-46-26.9N 080-33-54.7E. 3. CANCELLED RECOMMENDED ROUTE 180.0-0.0 DEGREES BETWEEN 72-46-26.9N 080-33-54.7E AND 72-38-38.9N 080-33-54.7E. 4. CANCELLED RECOMMENDED ROUTE 161.0-341.0 DEGREES BETWEEN 72-38-38.9N 080-33-54.7E AND 72-28-02.9N 080-46-12.8E. 5. CANCELLED RECOMMENDED ROUTE 149.0-329.0 DEGREES BETWEEN 72-28-02.9N 080-46-12.8E AND 72-23-07.4N 080-56-12.9E. 6. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 134.8-314.8 DEGREES BETWEEN 73-10-01.52С 079-57-53.36В AND 72-56-42.35N 080-43-51.44E MINIMUM DEPTH 15.0 METRES. 7. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 196.0-16.0 DEGREES BETWEEN 72-56-42.35N 080-43-51.44E AND 72-46-27.16N 080-33-54.00E MINIMUM DEPTH 13.9 METRES. 8. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 180.0-0.0 DEGREES BETWEEN 72-46-27.16N 080-33-54.00E AND 72-38-38.51N 080-33-54.00E MINIMUM DEPTH 14.7 METRES. 9. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 160.8-340.8 DEGREES BETWEEN 72-38-38.51N 080-33-54.00E AND 72-28-03.03N 080-46-11.05E MINIMUM DEPTH 13.2 METRES. 10. ESTABLISHED DEEPWATER ROUTE WIDTH 600 METRES 300 METRES EACH SIDE CENTRE LINE 148.4-328.4 DEGREES BETWEEN 72-28-03.03N 080-46-11.05E И 72-23-07.43N 080-56-12.87E MINIMUM DEPTH 16.1 METRES. WGS84 DATUM.= NNNN"
POINT (80.565 72.774211111111114),"COASTAL WARNING WEST 55/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 13347, 13348, 15379, 15380, 15381, 18381. 1. CANCELLED RECOMMENDED ROUTE 135.0-315.0 DEGREES BETWEEN 73-10-03.0N 079-57-56.4E AND 72-56-39.0N 080-43-46.7E. 2. CANCELLED RECOMMENDED ROUTE 196.0-16.0 DEGREES BETWEEN 72-56-39.0N 080-43-46.7E AND 72-46-26.9N 080-33-54.7E. 3. CANCELLED RECOMMENDED ROUTE 180.0-0.0 DEGREES BETWEEN 72-46-26.9N 080-33-54.7E AND 72-38-38.9N 080-33-54.7E. 4. CANCELLED RECOMMENDED ROUTE 161.0-341.0 DEGREES BETWEEN 72-38-38.9N 080-33-54.7E AND 72-28-02.9N 080-46-12.8E. 5. CANCELLED RECOMMENDED ROUTE 149.0-329.0 DEGREES BETWEEN 72-28-02.9N 080-46-12.8E AND 72-23-07.4N 080-56-12.9E. 6. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 134.8-314.8 DEGREES BETWEEN 73-10-01.52С 079-57-53.36В AND 72-56-42.35N 080-43-51.44E MINIMUM DEPTH 15.0 METRES. 7. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 196.0-16.0 DEGREES BETWEEN 72-56-42.35N 080-43-51.44E AND 72-46-27.16N 080-33-54.00E MINIMUM DEPTH 13.9 METRES. 8. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 180.0-0.0 DEGREES BETWEEN 72-46-27.16N 080-33-54.00E AND 72-38-38.51N 080-33-54.00E MINIMUM DEPTH 14.7 METRES. 9. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 160.8-340.8 DEGREES BETWEEN 72-38-38.51N 080-33-54.00E AND 72-28-03.03N 080-46-11.05E MINIMUM DEPTH 13.2 METRES. 10. ESTABLISHED DEEPWATER ROUTE WIDTH 600 METRES 300 METRES EACH SIDE CENTRE LINE 148.4-328.4 DEGREES BETWEEN 72-28-03.03N 080-46-11.05E И 72-23-07.43N 080-56-12.87E MINIMUM DEPTH 16.1 METRES. WGS84 DATUM.= NNNN"
POINT (80.565 72.64403055555556),"COASTAL WARNING WEST 55/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 13347, 13348, 15379, 15380, 15381, 18381. 1. CANCELLED RECOMMENDED ROUTE 135.0-315.0 DEGREES BETWEEN 73-10-03.0N 079-57-56.4E AND 72-56-39.0N 080-43-46.7E. 2. CANCELLED RECOMMENDED ROUTE 196.0-16.0 DEGREES BETWEEN 72-56-39.0N 080-43-46.7E AND 72-46-26.9N 080-33-54.7E. 3. CANCELLED RECOMMENDED ROUTE 180.0-0.0 DEGREES BETWEEN 72-46-26.9N 080-33-54.7E AND 72-38-38.9N 080-33-54.7E. 4. CANCELLED RECOMMENDED ROUTE 161.0-341.0 DEGREES BETWEEN 72-38-38.9N 080-33-54.7E AND 72-28-02.9N 080-46-12.8E. 5. CANCELLED RECOMMENDED ROUTE 149.0-329.0 DEGREES BETWEEN 72-28-02.9N 080-46-12.8E AND 72-23-07.4N 080-56-12.9E. 6. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 134.8-314.8 DEGREES BETWEEN 73-10-01.52С 079-57-53.36В AND 72-56-42.35N 080-43-51.44E MINIMUM DEPTH 15.0 METRES. 7. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 196.0-16.0 DEGREES BETWEEN 72-56-42.35N 080-43-51.44E AND 72-46-27.16N 080-33-54.00E MINIMUM DEPTH 13.9 METRES. 8. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 180.0-0.0 DEGREES BETWEEN 72-46-27.16N 080-33-54.00E AND 72-38-38.51N 080-33-54.00E MINIMUM DEPTH 14.7 METRES. 9. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 160.8-340.8 DEGREES BETWEEN 72-38-38.51N 080-33-54.00E AND 72-28-03.03N 080-46-11.05E MINIMUM DEPTH 13.2 METRES. 10. ESTABLISHED DEEPWATER ROUTE WIDTH 600 METRES 300 METRES EACH SIDE CENTRE LINE 148.4-328.4 DEGREES BETWEEN 72-28-03.03N 080-46-11.05E И 72-23-07.43N 080-56-12.87E MINIMUM DEPTH 16.1 METRES. WGS84 DATUM.= NNNN"
POINT (80.565 72.64403055555556),"COASTAL WARNING WEST 55/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 13347, 13348, 15379, 15380, 15381, 18381. 1. CANCELLED RECOMMENDED ROUTE 135.0-315.0 DEGREES BETWEEN 73-10-03.0N 079-57-56.4E AND 72-56-39.0N 080-43-46.7E. 2. CANCELLED RECOMMENDED ROUTE 196.0-16.0 DEGREES BETWEEN 72-56-39.0N 080-43-46.7E AND 72-46-26.9N 080-33-54.7E. 3. CANCELLED RECOMMENDED ROUTE 180.0-0.0 DEGREES BETWEEN 72-46-26.9N 080-33-54.7E AND 72-38-38.9N 080-33-54.7E. 4. CANCELLED RECOMMENDED ROUTE 161.0-341.0 DEGREES BETWEEN 72-38-38.9N 080-33-54.7E AND 72-28-02.9N 080-46-12.8E. 5. CANCELLED RECOMMENDED ROUTE 149.0-329.0 DEGREES BETWEEN 72-28-02.9N 080-46-12.8E AND 72-23-07.4N 080-56-12.9E. 6. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 134.8-314.8 DEGREES BETWEEN 73-10-01.52С 079-57-53.36В AND 72-56-42.35N 080-43-51.44E MINIMUM DEPTH 15.0 METRES. 7. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 196.0-16.0 DEGREES BETWEEN 72-56-42.35N 080-43-51.44E AND 72-46-27.16N 080-33-54.00E MINIMUM DEPTH 13.9 METRES. 8. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 180.0-0.0 DEGREES BETWEEN 72-46-27.16N 080-33-54.00E AND 72-38-38.51N 080-33-54.00E MINIMUM DEPTH 14.7 METRES. 9. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 160.8-340.8 DEGREES BETWEEN 72-38-38.51N 080-33-54.00E AND 72-28-03.03N 080-46-11.05E MINIMUM DEPTH 13.2 METRES. 10. ESTABLISHED DEEPWATER ROUTE WIDTH 600 METRES 300 METRES EACH SIDE CENTRE LINE 148.4-328.4 DEGREES BETWEEN 72-28-03.03N 080-46-11.05E И 72-23-07.43N 080-56-12.87E MINIMUM DEPTH 16.1 METRES. WGS84 DATUM.= NNNN"
POINT (80.769736111111115 72.467508333333342),"COASTAL WARNING WEST 55/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 13347, 13348, 15379, 15380, 15381, 18381. 1. CANCELLED RECOMMENDED ROUTE 135.0-315.0 DEGREES BETWEEN 73-10-03.0N 079-57-56.4E AND 72-56-39.0N 080-43-46.7E. 2. CANCELLED RECOMMENDED ROUTE 196.0-16.0 DEGREES BETWEEN 72-56-39.0N 080-43-46.7E AND 72-46-26.9N 080-33-54.7E. 3. CANCELLED RECOMMENDED ROUTE 180.0-0.0 DEGREES BETWEEN 72-46-26.9N 080-33-54.7E AND 72-38-38.9N 080-33-54.7E. 4. CANCELLED RECOMMENDED ROUTE 161.0-341.0 DEGREES BETWEEN 72-38-38.9N 080-33-54.7E AND 72-28-02.9N 080-46-12.8E. 5. CANCELLED RECOMMENDED ROUTE 149.0-329.0 DEGREES BETWEEN 72-28-02.9N 080-46-12.8E AND 72-23-07.4N 080-56-12.9E. 6. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 134.8-314.8 DEGREES BETWEEN 73-10-01.52С 079-57-53.36В AND 72-56-42.35N 080-43-51.44E MINIMUM DEPTH 15.0 METRES. 7. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 196.0-16.0 DEGREES BETWEEN 72-56-42.35N 080-43-51.44E AND 72-46-27.16N 080-33-54.00E MINIMUM DEPTH 13.9 METRES. 8. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 180.0-0.0 DEGREES BETWEEN 72-46-27.16N 080-33-54.00E AND 72-38-38.51N 080-33-54.00E MINIMUM DEPTH 14.7 METRES. 9. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 160.8-340.8 DEGREES BETWEEN 72-38-38.51N 080-33-54.00E AND 72-28-03.03N 080-46-11.05E MINIMUM DEPTH 13.2 METRES. 10. ESTABLISHED DEEPWATER ROUTE WIDTH 600 METRES 300 METRES EACH SIDE CENTRE LINE 148.4-328.4 DEGREES BETWEEN 72-28-03.03N 080-46-11.05E И 72-23-07.43N 080-56-12.87E MINIMUM DEPTH 16.1 METRES. WGS84 DATUM.= NNNN"
POINT (80.769736111111115 72.467508333333342),"COASTAL WARNING WEST 55/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 13347, 13348, 15379, 15380, 15381, 18381. 1. CANCELLED RECOMMENDED ROUTE 135.0-315.0 DEGREES BETWEEN 73-10-03.0N 079-57-56.4E AND 72-56-39.0N 080-43-46.7E. 2. CANCELLED RECOMMENDED ROUTE 196.0-16.0 DEGREES BETWEEN 72-56-39.0N 080-43-46.7E AND 72-46-26.9N 080-33-54.7E. 3. CANCELLED RECOMMENDED ROUTE 180.0-0.0 DEGREES BETWEEN 72-46-26.9N 080-33-54.7E AND 72-38-38.9N 080-33-54.7E. 4. CANCELLED RECOMMENDED ROUTE 161.0-341.0 DEGREES BETWEEN 72-38-38.9N 080-33-54.7E AND 72-28-02.9N 080-46-12.8E. 5. CANCELLED RECOMMENDED ROUTE 149.0-329.0 DEGREES BETWEEN 72-28-02.9N 080-46-12.8E AND 72-23-07.4N 080-56-12.9E. 6. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 134.8-314.8 DEGREES BETWEEN 73-10-01.52С 079-57-53.36В AND 72-56-42.35N 080-43-51.44E MINIMUM DEPTH 15.0 METRES. 7. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 196.0-16.0 DEGREES BETWEEN 72-56-42.35N 080-43-51.44E AND 72-46-27.16N 080-33-54.00E MINIMUM DEPTH 13.9 METRES. 8. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 180.0-0.0 DEGREES BETWEEN 72-46-27.16N 080-33-54.00E AND 72-38-38.51N 080-33-54.00E MINIMUM DEPTH 14.7 METRES. 9. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 160.8-340.8 DEGREES BETWEEN 72-38-38.51N 080-33-54.00E AND 72-28-03.03N 080-46-11.05E MINIMUM DEPTH 13.2 METRES. 10. ESTABLISHED DEEPWATER ROUTE WIDTH 600 METRES 300 METRES EACH SIDE CENTRE LINE 148.4-328.4 DEGREES BETWEEN 72-28-03.03N 080-46-11.05E И 72-23-07.43N 080-56-12.87E MINIMUM DEPTH 16.1 METRES. WGS84 DATUM.= NNNN"
POINT (80.936908333333335 72.385397222222224),"COASTAL WARNING WEST 55/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 13347, 13348, 15379, 15380, 15381, 18381. 1. CANCELLED RECOMMENDED ROUTE 135.0-315.0 DEGREES BETWEEN 73-10-03.0N 079-57-56.4E AND 72-56-39.0N 080-43-46.7E. 2. CANCELLED RECOMMENDED ROUTE 196.0-16.0 DEGREES BETWEEN 72-56-39.0N 080-43-46.7E AND 72-46-26.9N 080-33-54.7E. 3. CANCELLED RECOMMENDED ROUTE 180.0-0.0 DEGREES BETWEEN 72-46-26.9N 080-33-54.7E AND 72-38-38.9N 080-33-54.7E. 4. CANCELLED RECOMMENDED ROUTE 161.0-341.0 DEGREES BETWEEN 72-38-38.9N 080-33-54.7E AND 72-28-02.9N 080-46-12.8E. 5. CANCELLED RECOMMENDED ROUTE 149.0-329.0 DEGREES BETWEEN 72-28-02.9N 080-46-12.8E AND 72-23-07.4N 080-56-12.9E. 6. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 134.8-314.8 DEGREES BETWEEN 73-10-01.52С 079-57-53.36В AND 72-56-42.35N 080-43-51.44E MINIMUM DEPTH 15.0 METRES. 7. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 196.0-16.0 DEGREES BETWEEN 72-56-42.35N 080-43-51.44E AND 72-46-27.16N 080-33-54.00E MINIMUM DEPTH 13.9 METRES. 8. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 180.0-0.0 DEGREES BETWEEN 72-46-27.16N 080-33-54.00E AND 72-38-38.51N 080-33-54.00E MINIMUM DEPTH 14.7 METRES. 9. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 160.8-340.8 DEGREES BETWEEN 72-38-38.51N 080-33-54.00E AND 72-28-03.03N 080-46-11.05E MINIMUM DEPTH 13.2 METRES. 10. ESTABLISHED DEEPWATER ROUTE WIDTH 600 METRES 300 METRES EACH SIDE CENTRE LINE 148.4-328.4 DEGREES BETWEEN 72-28-03.03N 080-46-11.05E И 72-23-07.43N 080-56-12.87E MINIMUM DEPTH 16.1 METRES. WGS84 DATUM.= NNNN"
POINT (79.797583333333336 73.4925),"COASTAL WARNING WEST 54/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 12322, 12327, 13347, 15378, 15379, 15380. 1. CANCELLED RECOMMENDED ROUTE 172.0-352.0 DEGREES BETWEEN 73-29-33.0N 079-47-51.3E AND 72-40-02.9N 080-12-57.6E. 2. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES EACH SIDE 1000 METRES CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-29-32.90N 079-47-50.73E AND 73-05-00.00N 080-00-26.65E MINIMUM DEPTH 22 METRES. 3. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-05-00.00N 080-00-26.65E AND 72-55-57.90N 080-05-00.40E MINIMUM DEPTH 18.4 METRES. 4. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 72-55-57.90N 080-05-00.40E AND 72-40-03.31N 080-12-56.80E MINIMUM DEPTH 14.8 METRES. WGS84 DATUM.= NNNN"
POINT (80.216000000000008 72.66747222222223),"COASTAL WARNING WEST 54/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 12322, 12327, 13347, 15378, 15379, 15380. 1. CANCELLED RECOMMENDED ROUTE 172.0-352.0 DEGREES BETWEEN 73-29-33.0N 079-47-51.3E AND 72-40-02.9N 080-12-57.6E. 2. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES EACH SIDE 1000 METRES CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-29-32.90N 079-47-50.73E AND 73-05-00.00N 080-00-26.65E MINIMUM DEPTH 22 METRES. 3. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-05-00.00N 080-00-26.65E AND 72-55-57.90N 080-05-00.40E MINIMUM DEPTH 18.4 METRES. 4. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 72-55-57.90N 080-05-00.40E AND 72-40-03.31N 080-12-56.80E MINIMUM DEPTH 14.8 METRES. WGS84 DATUM.= NNNN"
POINT (79.797425 73.492472222222219),"COASTAL WARNING WEST 54/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 12322, 12327, 13347, 15378, 15379, 15380. 1. CANCELLED RECOMMENDED ROUTE 172.0-352.0 DEGREES BETWEEN 73-29-33.0N 079-47-51.3E AND 72-40-02.9N 080-12-57.6E. 2. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES EACH SIDE 1000 METRES CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-29-32.90N 079-47-50.73E AND 73-05-00.00N 080-00-26.65E MINIMUM DEPTH 22 METRES. 3. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-05-00.00N 080-00-26.65E AND 72-55-57.90N 080-05-00.40E MINIMUM DEPTH 18.4 METRES. 4. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 72-55-57.90N 080-05-00.40E AND 72-40-03.31N 080-12-56.80E MINIMUM DEPTH 14.8 METRES. WGS84 DATUM.= NNNN"
POINT (80.007402777777784 73.083333333333329),"COASTAL WARNING WEST 54/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 12322, 12327, 13347, 15378, 15379, 15380. 1. CANCELLED RECOMMENDED ROUTE 172.0-352.0 DEGREES BETWEEN 73-29-33.0N 079-47-51.3E AND 72-40-02.9N 080-12-57.6E. 2. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES EACH SIDE 1000 METRES CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-29-32.90N 079-47-50.73E AND 73-05-00.00N 080-00-26.65E MINIMUM DEPTH 22 METRES. 3. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-05-00.00N 080-00-26.65E AND 72-55-57.90N 080-05-00.40E MINIMUM DEPTH 18.4 METRES. 4. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 72-55-57.90N 080-05-00.40E AND 72-40-03.31N 080-12-56.80E MINIMUM DEPTH 14.8 METRES. WGS84 DATUM.= NNNN"
POINT (80.007402777777784 73.083333333333329),"COASTAL WARNING WEST 54/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 12322, 12327, 13347, 15378, 15379, 15380. 1. CANCELLED RECOMMENDED ROUTE 172.0-352.0 DEGREES BETWEEN 73-29-33.0N 079-47-51.3E AND 72-40-02.9N 080-12-57.6E. 2. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES EACH SIDE 1000 METRES CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-29-32.90N 079-47-50.73E AND 73-05-00.00N 080-00-26.65E MINIMUM DEPTH 22 METRES. 3. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-05-00.00N 080-00-26.65E AND 72-55-57.90N 080-05-00.40E MINIMUM DEPTH 18.4 METRES. 4. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 72-55-57.90N 080-05-00.40E AND 72-40-03.31N 080-12-56.80E MINIMUM DEPTH 14.8 METRES. WGS84 DATUM.= NNNN"
POINT (80.083444444444439 72.93275),"COASTAL WARNING WEST 54/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 12322, 12327, 13347, 15378, 15379, 15380. 1. CANCELLED RECOMMENDED ROUTE 172.0-352.0 DEGREES BETWEEN 73-29-33.0N 079-47-51.3E AND 72-40-02.9N 080-12-57.6E. 2. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES EACH SIDE 1000 METRES CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-29-32.90N 079-47-50.73E AND 73-05-00.00N 080-00-26.65E MINIMUM DEPTH 22 METRES. 3. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-05-00.00N 080-00-26.65E AND 72-55-57.90N 080-05-00.40E MINIMUM DEPTH 18.4 METRES. 4. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 72-55-57.90N 080-05-00.40E AND 72-40-03.31N 080-12-56.80E MINIMUM DEPTH 14.8 METRES. WGS84 DATUM.= NNNN"
POINT (80.083444444444439 72.93275),"COASTAL WARNING WEST 54/25 KARA SEA. YENISEY BAY. CHARTS RUS 11127, 12321, 12322, 12327, 13347, 15378, 15379, 15380. 1. CANCELLED RECOMMENDED ROUTE 172.0-352.0 DEGREES BETWEEN 73-29-33.0N 079-47-51.3E AND 72-40-02.9N 080-12-57.6E. 2. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES EACH SIDE 1000 METRES CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-29-32.90N 079-47-50.73E AND 73-05-00.00N 080-00-26.65E MINIMUM DEPTH 22 METRES. 3. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 73-05-00.00N 080-00-26.65E AND 72-55-57.90N 080-05-00.40E MINIMUM DEPTH 18.4 METRES. 4. ESTABLISHED DEEPWATER ROUTE WIDTH 2000 METRES 1000 METRES EACH SIDE CENTRE LINE 171.6-351.6 DEGREES BETWEEN 72-55-57.90N 080-05-00.40E AND 72-40-03.31N 080-12-56.80E MINIMUM DEPTH 14.8 METRES. WGS84 DATUM.= NNNN"
